Name,Reviews,Num_Start,Date

Điện thoại Samsung Galaxy A9 (2018),Máy ổn. Camera tốt .mặt lưng đẹp Chơi PUPG Liên quân max cấu hình chơi rất mượn. Có điều loa k to và đầm dc như con J7 pro xài lúc trước,5,13/12/2018

Điện thoại Samsung Galaxy A9 (2018),"Rất ổn, mọi thứ đều mượt mà, sạc nhanh, máy đẹp...Nói chung tất cả đều rất đẹp :D",5,12/12/2018

Điện thoại Samsung Galaxy A9 (2018),"Điều thất vọng nhất là không có Samsung Pay (dù sao cũng do bản thân không tìm hiểu kĩ vì đinh ninh thế nào cũng có), không có đèn led thông báo, cảm giác cầm trên tay không đầm và chắc như A8. Camera cũng không được như mong đợi, mong là sau này Sam update phần mềm sẽ cải thiện hơn.",3,11/12/2018

Điện thoại Samsung Galaxy A9 (2018),May quá m lấy máy thấy cũng ổn. Mầu màn hình hơi chán. Dùng đi dùng lại vậy thấy con note fe ok cho hàng tầm trung,3,10/12/2018

Điện thoại Samsung Galaxy A9 (2018),May quá m lấy m thấy cũng ổn. Nhưng mầu mè màn hình hơi chắn. Dùng đi dùng lại vậy thấy con note fe giá cat phải chăng dùng mượt luôn. ,3,10/12/2018

Điện thoại Samsung Galaxy A9 (2018),"Máy đẹp, nghe nhạc hay, màn hình to nên xem phim rất thích, mình mua 1 phần vì thích tai nghe ",5,10/12/2018

Điện thoại Samsung Galaxy A9 (2018),"Máy ok về mọi thứ, pin để qua đêm chỉ hụt 1% , không nóng, không bị lag khi chơi game, đặt trước nên được tặng thêm tai nghe hihi.",5,10/12/2018

Điện thoại Samsung Galaxy A9 (2018),máy bình thường chụp hình k được thật cho lắm màu thì nhạt có hiện tượng vỡ ảnh. Máy dùng nhanh hết pin được cái sạc nhanh,3,10/12/2018

Điện thoại Samsung Galaxy A9 (2018),"Mới tậu 1 tiếng. Lướt êm mượt. Chụp hình xấu, còn xấu hơn a8. Mọi thứ chưa biết . ",1,10/12/2018

Điện thoại Samsung Galaxy A9 (2018),"Máy quảng cáo hoành tráng nên khi sử dụng đã không đáp ứng được hết kỳ vọng. Camera, pin, tốc độ xử lý đều ở mức bình thường. Nói chung cái giá cao nhờ thương hiệu và uy tín. Các bạn mua máy sớm kèm quà tặng thì so với giá trị là ok. Còn mua sau thì đánh giá là giá tiền bỏ ra cao hơn so với chất lượng thực tế.",3,10/12/2018

Điện thoại Samsung Galaxy A9 (2018),"Ta hên nhận được máy ngon, ko lỗi, bin trâu, ko nóng, mượt mà các ứng dụng. Nói chung là rất vừa ý với tầm giá 7_8 triệu (đã trừ các khoản khuyến mãi) kkk",5,10/12/2018

Điện thoại Samsung Galaxy A9 (2018),"Pin 3800 mAh nhưng tụt nhanh quá không như mong đợi, mặc dù chẳng chơi Games nào hết. Buồn cho sản phẩm vì giá cao nhưng sử dụng chưa như ý.",1,10/12/2018

Điện thoại Samsung Galaxy A9 (2018),"Máy mượt, to bảng, xem phim, chơi game tốt.
Máy tầm trung mà các bạn cứ muốn cái gì cũng tốt.
Mọi người chỉ thấy 4 cái camera qua youtobe mà đánh giá theo xu thế gì đó...
Mình thấy máy đẹp, sắc nét viền cạnh..",5,10/12/2018

Điện thoại Samsung Galaxy A9 (2018),"Máy không xứng tầm giá bán, đèn led thông báo thì không có, samsung pay thì không hỗ trợ, pin thì tụt nhanh, thấy ghi là 3800 mAh nhưng đừng phần mềm kiểm tra thì toàn thấy 3720 mAh, máy đừng lâu khá nóng, máy này tầm chục triệu thì ok",2,10/12/2018

Điện thoại Samsung Galaxy A9 (2018),Tốt so với giá dành cho một chiếc điện thoại tầm chung.giá như thêm tính năng chống nước nữa thì ok hơn,4,03/12/2018

Điện thoại Samsung Galaxy A9 (2018),Máy tụt pin quá nhanh. Để qua 1 đêm mà tụt tới 15% pin. Ko giống như mong đợi....,3,03/12/2018

Điện thoại Samsung Galaxy A9 (2018),"Em xin có 1 vài ý kiến sau khi dùng sp a9 đc vaì ngày...
+ thiết kế tương đối dể cằm nắm ...
+ màn hình tấm nền ko đc tốt cho lắm...
+ pin khá ổn dùng liên tục củng đc cả ngày...
+ cấu hình khá tốt chơi game ổn chưa thấy lổi gì..liẻn quân khá mượt...
+ camera trong tầm giá tệ nhất...nhợt nhạt..chắc chỉ làm nền cho nhửng dòng sau.....
+ quà tặng thì chưa nhận đc nên ko có ý kiến ...cái gear icon x là ngon ròi..
+máy nóng khá nhanh khi chơi game nhưng ko quá nóng tạm ổn
+ ace trong cửa hàng tại ql 80 lấp vò đồng tháp rất nhiệt 
tình
+ điểm thiếu xót nhất là ko thấy đen thông báo trạng thái đâu dù đt 12 củ trong khi 1 2 củ đả có cái đó ròi....
Tổng kết cám ơn ae nào đã xem bl dài dòng nài của em nhe... máy dùng đc cho ae nào có nhu cầu chơi game nhe khá mượt...chúc ace xẻ lựa chon đc 1 sản phẩm ưng ý..
Chào ace..
Ace nào đang dùng máy thấy chó j hây chỉ em với nhe thaks",4,03/12/2018

Điện thoại Samsung Galaxy A9 (2018),Nói chung ok trừ vỏ bằng nhựa . K có đèn báo đầy pin hay có tin nhắn giống j7 hay s9. Cứ tưởng samsung đã để đèn led là định dạng chung cho tất cả điện thoai của samsung.k có kháng nước giống dòng A 2017. Nói chung dòng A năm may bị lượt bỏ nhiều tinh năng .chỉ được A8 A8plus .giống A5 A7 2017. Dòng a6 a7 năm nay giống dòng J .sam sung ra nhiều quá nên đặt phân khúc tạp nham quá .,3,03/12/2018

Điện thoại Samsung Galaxy A9 (2018),Ok mà không có đèn led thông báo với pin mau hết quá. Mà dòng a8 ok hơn nhiều .,3,03/12/2018

Điện thoại Samsung Galaxy A9 (2018),"Sản phẩm thiết kế đẹp, dùng mượt với các ứng dụng bình thường, chưa test với game. Tuy nhiên ốp lưng tặng kèm nhìn không hoàn thiện lắm.",4,03/12/2018

Điện thoại Samsung Galaxy A9 (2018),"Hài lòng. Chỉ thấy pin tụt hơi nhanh, hi vọng do chưa ổn định, chưa có lỗi gì cả",5,03/12/2018

Điện thoại Samsung Galaxy A9 (2018),"Giá quá cao so với chất lương !!
Pin mau tuột, ko chống bụi, nước, ko có Samsung Pay....
",1,11/12/2018

Điện thoại Samsung Galaxy A9 (2018),Mọi thứ điều tốt phải chi có thêm chống nước chống run quang học cho chiếc 4 camera này thì hay biết là bao nhiêu,5,10/12/2018

Điện thoại Samsung Galaxy A9 (2018),Mới lấy con A9 được 2 ngày nói chung tất cả điều ổn đăng xài iphone 7 chán nên mua xài thử ok nói chung là tuyệt vời !,5,10/12/2018

Điện thoại Samsung Galaxy A9 (2018),"Máy sài ok ko có vấn đề gi vừa nc zalo vơi vk ,vừa xem phim cả ngày bằng 4g mà máy vẫn bình thường ko nóng ,tai nghe tặng kèm pin cũng dc gần 3h .nói chung là ok ",5,10/12/2018

Điện thoại Samsung Galaxy A9 (2018),"Camera 24mp mà ko đẹp như mong đợi, thấy thất vọng quá !! Nhìn thấy như bể bể hình sao sao á",3,10/12/2018

Điện thoại Samsung Galaxy A9 (2018),"Rất tuyệt vời máy dùng mượt không lỗi lầm gì,pin thì quá trâu,camera thì quá ok,chơi game mãi không nóng máy không lag, nói chung là tuyệt vời, chỉ có cái hạn là không có chống nước thui",5,10/12/2018

Điện thoại Samsung Galaxy A9 (2018),"Màn hình to, pin dùng ổn, camera tạm được. Dùng được 1 tuần cảm thấy Hài lòng với sản phẩm",5,10/12/2018

Điện thoại Samsung Galaxy A9 (2018),Điện thoại Mau hết pin quá chụp hình ko khật. Cũng ko như mong doi nó dở quá thua Oppo f3.,1,10/12/2018

Điện thoại Samsung Galaxy A9 (2018),"Máy tụt pin quá nhanh, camera chụp hình ko thật, máy hơi to so với dòng a2017 ma còn ko chống nước nữa chứ. Thất  vong9😑",1,10/12/2018

Điện thoại Samsung Galaxy A9 (2018),"Máy không như bài đăng. Pin thì hẻo. Mình sạc đầy chơi liên quân được 3g20 phút. Cấu hình thấp hết. Camera chụp đẹp nhưng khi lên máy tính thì vỡ nát. Nói thật còn thua chiếc điện thoại phụ Nokia 8 của mình nữa...  Về cấu hình mình đem test với em Nokia 8 cũ của mình thì mọi thứ Nokia 8 đều chiến thắng : game, pin, mọi thao tác khác. Còn về khoảng chụp ảnh thì nokia không đẹp bằng nhưng khi đem lên PC thì Nokia vẫn giữ được hình ảnh trung thực. Không bị vỡ như Samsung.",1,10/12/2018

Điện thoại Samsung Galaxy A9 (2018),"Máy 4 camera ma chất lượng hình chụp cũng ko nhu mong đợi, cảm thấy ko được như quảng cáo.",2,10/12/2018

Điện thoại Samsung Galaxy A9 (2018),Mình đánh giá 4 sao vì tận 4 cam nà kh có chống rung quang học. Máy rất đẹp sài ok mình chưa test game nhưng thấy chức năng cũng khá ổn nhưng kh thực tế lắm với giá hiện giờ. Máy có dung lượng lớn RAM lớn nên sài đã kh bị lag máy. Và điểm cộng là khi còn 20 30% thì m kh hề nóng lên mà chỉ hơi ấm . Mình thuộc tuýp ng bị bệnh đổ mồ hôi tay nên với bạn nago giống mình thì nút vân tay kh ăn lắm đâu còn  nhận diện khuôn mặt thì ổn. Nói chung đây sẽ là A7 thứ hai :))))))),4,03/12/2018

Điện thoại Samsung Galaxy A9 (2018),Chụp hình xấu quá .màu ko thực tế.hơi thất vọng vì kỳ vọng quá nhiều .còn mọi thứ đều ổn.,1,03/12/2018

Điện thoại Samsung Galaxy A9 (2018),Tôi rất yêu ❤ và rất thích 👍các dòng điện thoại sam sung..đặc biệt là các dòng tầm trung...phù hợp cho nhu cầu sử dụng của người dân việt nam,5,09/11/2018

Điện thoại Samsung Galaxy A9 (2018),Sam sung là nhà phân phối mạnh nhất cho các dòng điện thoại..từ cao cấp đến tầm trung..Còn chưa kể đến các dòng điện thoại khác vừa túi tiền của người dân việt nam...thiết kế điện thoại cái nào cũng đẹp.đáp ứng mọi nhu cầu của cuột sống hằng ngày của người dân việt nói riêng và cho toàn thế giới nói chung.tôi rất thích các dòng điện thoại sam sung tầm trung mới ra..tôi cũng sở hữu 2 cái sam sung a6plus 2018 và 1 cái a7plus 2018.....❤❤❤❤❤ nhưng tôi k may mắn. Vừa mới mua mà đã mất 2 cái điện thoại sam sung a7 plus 2018.với 1 cái a6plus 2018 rồi...,5,09/11/2018

Điện thoại Samsung Galaxy A9 (2018),Sản phẩm tuyệt vời đẹp trong mọi góc nhìn giấc mơ được cầm ngắm và sở hữu sản phẩm tuyệt vời này ( tôi yêu Samsung),4,08/11/2018

Điện thoại iPhone Xr 64GB,"Máy rất mạnh phù hợp cho mình cày game!
Mua máy đầu tiên tại 126 Lạch Tray ngày 02-11",4,05/11/2018

Điện thoại iPhone Xr 64GB,"Sản phẩm rất tốt, pin trâu , chip khỏe , camera thì đẹp , về phần màn hình thì mình thấy nó bình thường chứ không quá xấu !",5,10/12/2018

Điện thoại iPhone Xr 64GB,"Máy rất mạnh cam chụp ảnh đẹp, cầm rất thích tay về phần màn hình chỉ HĐ+ nhưng cũng đủ dùng đối với mình rồi ",5,03/12/2018

Điện thoại iPhone Xr 64GB,"Máy Đẹp , Cứng Cáp - Cầm Rất Chắc Tay , Xứng Đáng Với Tầm Giá Tiền - Mặc dù chất lượng màn hình thua kém samsung nhưng được apple hỗ trợ lâu dài ! - Theo tôi , Mọi người nên mua ,",5,03/12/2018

Điện thoại iPhone Xr 64GB,"Chán cái màn hình quá. Không xứng với giá tiền. Tuy nhiên bù lại cấu hình tốt, cầm chắc tay",2,03/12/2018

Điện thoại iPhone Xr 64GB,Viền hơi dày nhưng không sao. Chỉ không hiểu nổi 22trieu cho cái màn hình Hd. Còn thua con máy tàu 4trieu. Khong hieu Apple làm cái gì luôn. Tính lên đời nhưng nhìn màn hình. Nghỉ luôn.,2,05/11/2018

Điện thoại iPhone Xr 64GB,"Viền 2 bên đã dày vậy rồi mà còn màng hình hd+ nữa, màng hình còn thua con ip7 plus của mình nữa định năng cấp mà nhìn thấy vậy chán quá.",3,04/11/2018

Điện thoại iPhone Xr 64GB,"Viền 2 bên dày cả hơn cả iphone 7 đang dùng nữa, dày hơn cả Mi8SE nữa. Tính đổi máy mà nhìn nó thô và chán.",3,03/11/2018

Điện thoại Huawei Mate 20 Pro,Tuyệt vời. Camera Ip 8 plus không bằng đâu. Pin phải nói cực kỳ trâu bò. Đừng ai nói hãng Trung Quốc. Dùng rồi mới biết hàng cao cấp TQ cực đã.,5,14/12/2018

Điện thoại Huawei Mate 20 Pro,"Chụp hình siêu đẹp, camera góc rộng tuyệt vời, quay video xóa phông và giữ màu chủ thể rất hay ho. Pin trâu mà sạc chưa đến 1h full luôn. Màn hình 2k đẹp miễn chê.",5,26/11/2018

Điện thoại Huawei Mate 20 Pro,Đây là ảnh 20 pro. Phía trên là ảnh của ip8. Mate 20 pro là sự lựa chọn thông minh ,5,26/11/2018

Điện thoại Huawei Mate 20 Pro,Camera vô đối. Đây là ảnh ip8 plus thua xa 20 pr0. Quá tuyệt vời. Ip ko là đối thủ. Đã làm 1 căp. ,5,26/11/2018

Điện thoại Huawei Mate 20 Pro,Máy tốt mọi tính năng đều tuyệt vời chỉ mắc cái dính lỗi màn hình ám xanh. Mình đã bị và đã đổi 2 máy rồi đang sài cái thứ 3 mà vẫn bị. Không biết đổi đến khi nào mới ko bị nữa chứ chạy đi chạy về để đổi cũng mệt lắm... ,5,26/11/2018

Điện thoại Huawei Mate 20 Pro,Máy quá tốt so với quy chuẩn. Cần test thêm nhiều hơn nữa camera. Tóm lại quá đỉnh. 5 sao.,5,11/11/2018

Điện thoại Huawei Mate 20 Pro,"Sạc nhanh tuyệt vời,màn hình 2k+ màu sắc chân thực,bộ quà tặng thì đã phải biết,có sạc ko dây bằng ngang với Quickcharge 3.0 của Qualcom,còn Adapter theo máy thì 40W cái này ai xài IPhone XS Max có mơ cũng ko thể có dc ! Hiệu năng thì đã có rất nhiều số sánh rồi,Face 3D + cảm biến vân tay trong màn hình nữa rất tiện lợi",5,10/11/2018

Điện thoại Huawei Mate 20 Pro,"Mới lấy máy hôm nay, bước đầu cảm nhận: đẹp, mở khóa 3d ngon, vân tay nhạy, lúc màn tắt để ngón tay gần đến nơi quanh khu vực vân tay nó tự sáng khá tiện, màn hình không thấy bị ám màu. Để test ký đủ thứ xem sao 😁",5,04/11/2018

Điện thoại Huawei Mate 20 Pro,"cấu hình ,chất lượng sản phẩm và phần cứng cũng rất xứng với tầm giá . sản phẩm này tôi rất thích",5,10/12/2018

Điện thoại Huawei Mate 20 Pro,"Thiết kế nam tính đầy mạnh mẽ, camera chụp ảnh sắc nét, zoom nhiều không bị vỡ ảnh, chất luợng hoàn thiện tốt. ",5,03/12/2018

Điện thoại Huawei Mate 20 Pro,"Máy quá tốt với tầm giá này, hàng cao cấp chất, chụp hình đẹp, pin lâu, màn hình chuẩn",5,26/11/2018

Điện thoại Huawei Mate 20 Pro,Máy ngon cấu hình mạnh pin trâu chơi game tốt max cấu hình camera chây màn ngon  tôt,5,11/11/2018

Điện thoại OPPO Find X,Sản phẩm rất đẹp đặc biệt camara rất là chưa có hàng dt nào làm được chụp hình rất đẹp rất phù hợp với nhu cầu tôi sử dụng,5,19/10/2018

Điện thoại OPPO Find X,Lúc đầu đặt mua cùng hơi hoài nghi. Nhưng khi nhận máy thực tế thì khác 100%.Ngoại hình đẹp bóng bẩy màn hình gần như chiếm trọn mặt trước. Màu sắc đẹp âm thanh to vừa đủ. Chạy mượt và camera trượt nghe rất chắc tiếng cơ trượt. Chụp ảnh đẹp cả trước và sau. Oppo đem lại một ý tưởng mới cho đt màn hình tràn viền kg tai thỏ.,5,21/08/2018

Điện thoại OPPO Find X,Đó h mới thấy điện thoại nào mà có camera thụt lên thụt xuống như vậy. Quá hay luôn. ,5,03/12/2018

Điện thoại OPPO Find X,"Chưa dùng xem thế nào nhug nhìn vẻ ngoài diện mạo và các chức năng thì ưng ý quá, nhất là camera và chế độ làm đẹp",5,05/10/2018

Điện thoại OPPO Find X,Sản phẩm thiết kế độc đáo sang chảnh khác biệt chụp hình siêu đẹp có sạc nhanh tiện lợi,5,29/09/2018

Điện thoại OPPO Find X,"Camera trượt ma k kháng bụi kháng nước nếu được kháng nước kháng bụi là OK có thể người dùng nhìu hơn
",3,11/09/2018

Điện thoại OPPO Find X,"Đẹp, cầm thử rất đã nhưng mình vẫn chọn ipX, lý do là IOS tối ưu tốt hơn android và vòng đởi lâu hơn.",5,26/08/2018

Điện thoại OPPO Find X,"Sảm phẩm dùng ổn định, thiết kê bắt mắt, nhân viên phục vụ nhiệt tình, chu đáo, hướng dẫn sử dụng sản phẩm cặn kẽ, sảm phẩm bị sự cố bảo hành nhanh chóng",5,19/08/2018

Điện thoại OPPO Find X,Toi rất thích dùng sản phẩm dòng oppo. Hiện tại tôi đang dùng f5. Nếu sản phẩm này  chụp lấy nét tự động  và chụp nhanh là OK rồi ,5,19/07/2018

Điện thoại OPPO Find X,"Hơn 17tr mà có cái tính năng kháng nc cx ko có
Tuy nó ko quá quan trọng nhưng nếu có thì máy sẽ tốt và bền hơn
Ý kiến riêng",4,17/07/2018

Điện thoại OPPO Find X,Dt oppo Find X rất đẹp và chụp ảnh tuyệt vời! Thích nhất ! Khi nào thông tin sản phẩm về Giá trị ??,5,15/07/2018

Điện thoại OPPO Find X,"Oppo bên trung quốc đã lên kệ.giá hiện tại là 4999,và nhiều loại oppo cao cấp,rất là tuyệt vời ",5,15/07/2018

Điện thoại Samsung Galaxy S9+ 128GB,"Máy đẹp sài rất thích, mà pin xuống nhanh quá. Kiểm tra pin thì thấy ko bị lỗi, sạc đầy dùng chỉ được 5 giờ chán quá ngày nào cũng bị gián đoạn vì hết pin.",4,26/11/2018

Điện thoại Samsung Galaxy S9+ 128GB,"Mua đc 3 ngày máy đẹp cảm ứng nhanh nhạy vuốt chạm rất mượt. Cam chụp đẹp thích tính năng quay chậm, Pin hơi yếu để qua đêm mất 8 10%. Sạc đầy dùng liên tục khoảng 5 giờ sạc nhanh thấy cũng ko nhanh lắm tầm 1 giờ 50' mới đầy. Loa rất to âm thanh nghe chất nhưng cân bằng chưa đều loa ngoài tiếng lớn hơn loa thoại, màn hình OLed độ phân giải 2k rất sắc nét độ sáng k đc cao lắm lúc trc dùng con A7 để 40% thôi là sáng rực còn s9 plus mình phải để 70% mới đủ sáng. Tốc độ tải xuống rất nhanh khung viền hai mặt kính ốp ko đc sát lắm cổng sạc hơi lệch xuống phía dưới, bộ nhớ 128g thoải mái lưu phim và ảnh...",4,19/11/2018

Điện thoại Samsung Galaxy S9+ 128GB,"SS S9+ quá đã, cảm ứng mượt, chụp ảnh khá okie, Pin ổn. Tuy nhiên có âm thanh thông báo tin nhắn, Mess, zalo hơi nhỏ, còn lại tốt cả.",5,26/06/2018

