TieuDe,TacGia,ChiTiet
Ảnh hưởng của vị trí trong chuồng nuôi đến tăng trưởng của gà lương phượng,['Phạm Tấn Nhã'],"Tập 54, Số 7 (2018) Trang: 1-5 "
"Nghiên cứu định hình cấu trúc mạng lưới chuỗi cung ứng thu gom tái chế hộp mực máy in cũ cho các cơ quan và trường học trên địa bàn thành phố Cần Thơ và các quận, huyện lân cận","['Đoàn Hoàng Tuấn', 'Nguyễn Thắng Lợi', 'Phạm Hoàng Tân', 'Trương Quỳnh Hoa']","Tập 54, Số 7 (2018) Trang: 1-8 "
Cải tiến tiêu chuẩn khoảng cách trong xây dựng chùm các phần tử rời rạc,"['Võ Văn Tài', 'Bành Văn Viên', 'Lê Thị Kim Ngọc']","Tập 54, Số 7 (2018) Trang: 101-108 "
Đánh giá hoạt động khai thác thủy sản ở Đồng bằng sông Cửu Long,"['Nguyễn Thanh Long', 'Trần Đắc Định', 'Huỳnh Văn Hiền', 'Mai Viết Văn', 'Naoki Tojo']","Tập 54, Số 7 (2018) Trang: 102-109 "
Nghiên cứu nhu cầu du lịch trải nghiệm của người dân thành phố Cần Thơ,"['Nguyễn Thị Tú Trinh', 'Khưu Ngọc Huyền', 'Nguyễn Hồng Đào']","Tập 54, Số 7 (2018) Trang: 109-116 "
Nghiên cứu mô hình quản trị chi phí dòng nguyên vật liệu cho dây chuyền chế biến tôm sushi,"['Phạm Thị Hoài Thương', 'Nguyễn Thị Lệ Thủy', 'Võ Trần Thị Bích Châu', 'Phạm Kiều My']","Tập 54, Số 7 (2018) Trang: 110-117 "
Thực trạng và giải pháp đẩy mạnh hoạt động nghiên cứu khoa học của giảng viên Trường Đại học Cần Thơ,['Đào Ngọc Cảnh'],"Tập 54, Số 7 (2018) Trang: 117-121 "
Thực nghiệm ương ấu trùng tôm sú (Penaeus monodon) với các mô hình khác nhau,"['Trần Ngọc Hải', 'Lê Quốc Việt']","Tập 54, Số 7 (2018) Trang: 118-125 "
Một số khó khăn và sai lầm của học sinh tiểu học khi học hệ đếm thập phân,"['Nguyễn Thị Nga', 'Tăng Minh Dũng', 'Dương Thị Hạnh']","Tập 54, Số 7 (2018) Trang: 125-129 "
"Điều tra hiện trạng nuôi trồng thủy sản lợ mặn cao triều ở xã Phú Mỹ, huyện Phú Vang, tỉnh Thừa Thiên Huế, Việt Nam","['Trương Văn Đàn', 'Vũ Ngọc Út', 'Hà Nam Thắng', 'Phạm Thị Ái Niệm', 'Nguyễn Thành Luân', 'Mạc Như Bình']","Tập 54, Số 7 (2018) Trang: 126-137 "
Hiệu quả giảm bệnh và cơ chế kích kháng liên quan đến enzyme phenylalanine ammonia-lyase và polyphenol oxidase đối với bệnh cháy bìa lá lúa khi phun qua lá với dịch trích lá sống đời,"['Nguyễn Thị Thu Hương', 'Nguyễn Đắc Khoa', 'Lâm Tấn Hào']","Tập 54, Số 7 (2018) Trang: 13-21 "
"Ứng dụng công nghệ thông tin và truyền thông trong bồi dưỡng giáo viên: Kinh nghiệm thực tế tại Khoa Sư phạm, Trường Đại học Cần Thơ","['Bùi Lê Diễm', 'Nguyễn Văn Nở', 'Hồ Thị Thu Hồ', 'Trần Trung Tính', 'Bùi Lê Diễm Trang']","Tập 54, Số 7 (2018) Trang: 130-137 "
Mức độ tập trung vốn và hiệu quả hoạt động của các công ty niêm yết trên sở giao dịch chứng khoán Thành phố Hồ Chí Minh,"['Ngô Mỹ Trân', 'Lê Thị Trang']","Tập 54, Số 7 (2018) Trang: 138-145 "
Hiệu quả kinh tế của mô hình nuôi tôm tại vùng ven biển tỉnh Sóc Trăng,"['Nguyễn Thùy Trang', 'Huỳnh Việt Khải', 'Võ Hồng Tú']","Tập 54, Số 7 (2018) Trang: 146-154 "
Phân tích các yếu tố cấu thành năng lực nghề nghiệp trong lĩnh vực lữ hành tại thành phố Cần Thơ,"['Huỳnh Trường Huy', 'Chung Văn Giang']","Tập 54, Số 7 (2018) Trang: 155-163 "
"Lượng giá rủi ro sức khỏe do sử dụng thuốc trừ sâu trong sản xuất nông nghiệp tại huyện Tam Bình, tỉnh Vĩnh Long: Phương pháp thực nghiệm lựa chọn","['Nguyễn Phương Duy', 'Tống Yên Đan', 'Vũ Thùy Dương']","Tập 54, Số 7 (2018) Trang: 164-171 "
Tổng hợp vật liệu cấu trúc spinel nickel ferrite NIxFE3-xO4 bằng phương pháp sol-gel và khảo sát hoạt tính quang xúc tác,"['Nguyễn Trương Xuân Vinh', 'Đoàn Văn Hồng Thiện', 'Huỳnh Kỳ Phương Hạ']","Tập 54, Số 7 (2018) Trang: 20-26 "
"Phân lập, tuyển chọn và định danh nấm men trong lên men rượu vang dâu Hạ Châu (Baccaurea ramiflora L.)","['Nguyễn Văn Vũ', 'Nguyễn Văn Thành']","Tập 54, Số 7 (2018) Trang: 22-32 "
Đánh giá hiệu quả của giải thuật Quasi-Newton trong điều khiển trượt thích nghi sử dụng mạng nơ-ron RBF,"['Phạm Thanh Tùng', 'Nguyễn Chí Ngôn', 'Lê Thị Kiều Mai', 'Nguyễn Đình Tứ', 'Đồng Văn Hướng', 'Nguyễn Hứa Duy Khang']","Tập 54, Số 7 (2018) Trang: 27-34 "
Phân lập và xác định nấm gây hại trên cây nghệ (Curcuma),"['Vũ Thị Yến', 'Trần Nhân Dũng', 'Đỗ Tấn Khang']","Tập 54, Số 7 (2018) Trang: 33-40 "
"Tổng quan về pin nhiên liệu vi khuẩn: Lịch sử nghiên cứu, nguyên lý hoạt động và các cơ chế dịch chuyển điện tử giữa các màng sinh học vi khuẩn với các điện cực rắn","['Thiều Quang Quốc Việt', 'Phạm Văn Toàn', 'Quách Ngọc Thịnh']","Tập 54, Số 7 (2018) Trang: 35-47 "
Nghiên cứu hiệu quả của thực khuẩn thể phòng trị bệnh thối hạt do vi khuẩn Burkholderia glumae trên lúa,"['Đoàn Thị Kiều Tiên', 'Nguyễn Thị Thu Nga', 'Bùi Thị Thanh Mỹ', 'Lê Quốc Uy', 'Kaeko Kamei']","Tập 54, Số 7 (2018) Trang: 41-47 "
"Tương quan giữa tốc độ biến dạng ngang và tốc độ biến dạng đứng của đất ven sông phường 1, thành phố Vĩnh Long, tỉnh Vĩnh Long","['Văn Hữu Huệ', 'Nguyễn Văn Xuân']","Tập 54, Số 7 (2018) Trang: 48-56 "
Hiệu quả của kỹ thuật tưới tiết kiệm nước trên cây trồng cạn ở vùng đất Giồng Cát tỉnh Trà Vinh,"['Hồng Minh Hoàng', 'Nguyễn Hồng Tín', 'Thạch Dương Nhân', 'Lê Văn Mưa', 'Hồ Chí Thịnh', 'Võ Thùy Dương', 'Tô Thị Lai Hón']","Tập 54, Số 7 (2018) Trang: 48-59 "
